arm,seed,targeting_mode,intervention_tick,withdrawal_tick,n_ticks_total,peak_gap,final_gap,recovery_fraction,point,window,affective,ideological,structural
engagement,0,distance,60,1060,1120,0.03280242962320168,0.025553978939716337,0.2209729817805446,cross_cut_LHS4,1000,0.5440782898978583,0.8640995441207491,0.2978034381535035
engagement,1,distance,60,1060,1120,0.032325337382195896,0.024645567520908518,0.23757740779272518,cross_cut_LHS4,1000,0.5440782898978583,0.8640995441207491,0.2978034381535035
engagement,2,distance,60,1060,1120,0.03546670768758875,0.027109579667803585,0.23563303629419385,cross_cut_LHS4,1000,0.5440782898978583,0.8640995441207491,0.2978034381535035
engagement,3,distance,60,1060,1120,0.03265420849330192,0.025019282812761556,0.2338113839784679,cross_cut_LHS4,1000,0.5440782898978583,0.8640995441207491,0.2978034381535035
engagement,4,distance,60,1060,1120,0.033462627358487484,0.02574294595003912,0.23069561531277483,cross_cut_LHS4,1000,0.5440782898978583,0.8640995441207491,0.2978034381535035
composition,0,distance,60,1060,1120,-0.03863140455928149,-0.030120143240846442,0.22031974802713072,cross_cut_LHS4,1000,0.5440782898978583,0.8640995441207491,0.2978034381535035
composition,1,distance,60,1060,1120,-0.037600422583797144,-0.029568722391643876,0.21360664695333254,cross_cut_LHS4,1000,0.5440782898978583,0.8640995441207491,0.2978034381535035
composition,2,distance,60,1060,1120,-0.03844606674701301,-0.030195267610941823,0.2146071063748599,cross_cut_LHS4,1000,0.5440782898978583,0.8640995441207491,0.2978034381535035
composition,3,distance,60,1060,1120,-0.03498151466135058,-0.027702553683148334,0.208080211753793,cross_cut_LHS4,1000,0.5440782898978583,0.8640995441207491,0.2978034381535035
composition,4,distance,60,1060,1120,-0.03673832683457645,-0.02869745202399354,0.21886883544775926,cross_cut_LHS4,1000,0.5440782898978583,0.8640995441207491,0.2978034381535035
