arm,seed,targeting_mode,delta_aff_plateau,delta_aff_per_contact,delta_aff_per_cross_contact,delta_aff_level_none,toward_other_camp,toward_mean,toward_own_pole,delta_k,delta_bic_margin,ideo_level_toward_other_camp,ideo_level_toward_mean,ideo_level_toward_own_pole,diversity_ratio_arm,diversity_ratio_none,diversity_floor_break_even,swept_dial,level,affective,ideological,structural
exposure,3,camp_pair,0.003244561788217304,7.349949683348369e-8,9.037776568850428e-8,0.007254198151601221,-0.000972829734037197,-0.0009977128623070639,0.0009141184911149736,0.0,0.00005158222836398191,-0.006796173880068755,-0.0064766010883472325,0.0066064316722114005,1.006829593378239,1.006069911539751,NaN,ideological,0.5,0.7,0.5,0.7
engagement,3,camp_pair,0.004614149950293411,1.0231611748660468e-7,1.2627322597338364e-7,0.007254198151601221,-0.00031543983977520146,-0.00029790770165675964,0.0003745769943285541,0.0,0.000052408762050024094,-0.006796173880068755,-0.0064766010883472325,0.0066064316722114005,1.0063317656917437,1.006069911539751,NaN,ideological,0.5,0.7,0.5,0.7
composition,3,camp_pair,-0.008979880840406906,-1.9878427503446467e-7,-2.457548122716723e-7,0.007254198151601221,-0.0003849595880740962,-0.0004028875570195479,0.00036657031946358155,0.0,-0.00004194519308371031,-0.006796173880068755,-0.0064766010883472325,0.0066064316722114005,1.0063582562137374,1.006069911539751,1.0063582562137374,ideological,0.5,0.7,0.5,0.7
exposure,4,camp_pair,0.0026255666967009983,5.787010572406873e-8,7.047933580385468e-8,0.008670357187433586,-0.001135004186247032,-0.0011219096004576566,0.0010154170347752896,0.0,0.0007213979786380303,-0.003687689936736018,-0.0034338348346955247,0.003526449086485175,1.003673309497372,1.0028384216842035,NaN,ideological,0.5,0.7,0.5,0.7
engagement,4,camp_pair,0.003993099567275227,8.534087555621344e-8,1.0480026159454167e-7,0.008670357187433586,-0.0004661963866854314,-0.00048797320719978863,0.00034180970816287144,0.0,0.00021858760816272776,-0.003687689936736018,-0.0034338348346955247,0.003526449086485175,1.003164110618089,1.0028384216842035,NaN,ideological,0.5,0.7,0.5,0.7
composition,4,camp_pair,-0.008637655662353971,-1.8414035265528206e-7,-2.256558770665649e-7,0.008670357187433586,-0.0008102524288360873,-0.0008187764561464195,0.0006848514855289324,0.0,0.0006231957757753329,-0.003687689936736018,-0.0034338348346955247,0.003526449086485175,1.003458293683401,1.0028384216842035,1.003458293683401,ideological,0.5,0.7,0.5,0.7
exposure,0,camp_pair,0.0033409430318958044,6.963489582508242e-8,7.989055290408198e-8,0.008053366882535995,-0.0024773490273166995,-0.002420732128701985,0.002407489783028084,0.0,-0.003711699465802784,-0.013216636984509584,-0.012759210795428398,0.013123866751458003,1.008733474435113,1.0072359334359815,NaN,ideological,0.9,0.7,0.9,0.7
engagement,0,camp_pair,0.003655660861485499,7.475177616320749e-8,8.593871036450936e-8,0.008053366882535995,-0.0008233420326668201,-0.0007665168177232225,0.000834830275008483,0.0,-0.003770092394707568,-0.013216636984509584,-0.012759210795428398,0.013123866751458003,1.0076287141411517,1.0072359334359815,NaN,ideological,0.9,0.7,0.9,0.7
composition,0,camp_pair,-0.012320635227154986,-2.516829454201987e-7,-2.899723511298215e-7,0.008053366882535995,-0.0009124962268010073,-0.0008096646480292777,0.0009430683893692973,0.0,-0.003679873920721617,-0.013216636984509584,-0.012759210795428398,0.013123866751458003,1.0076243886544347,1.0072359334359815,1.0076243886544347,ideological,0.9,0.7,0.9,0.7
exposure,1,camp_pair,0.0028370561117094795,5.912750847629277e-8,6.795181221310817e-8,0.009054876019096492,-0.00288166658725849,-0.0027844247667364076,0.0028022444540673295,0.0,0.0003319951121586659,-0.012620991324735474,-0.011868376944941342,0.012454542381965836,1.0082299802597152,1.0066675736957045,NaN,ideological,0.9,0.7,0.9,0.7
