arm,seed,delta_aff_plateau,delta_aff_per_contact,delta_aff_per_cross_contact,toward_other_camp,toward_mean,toward_own_pole,delta_k,delta_bic_margin,ideo_level_toward_other_camp,ideo_level_toward_mean,ideo_level_toward_own_pole,swept_dial,level,affective,ideological,structural
composition,3,-0.011187063637431938,-2.2858732401781646e-7,-2.718539923071599e-7,-0.001115873003605987,-0.0011222951029865797,0.001076109031049655,0.0,0.00006801449967105966,-0.0020785785594460023,-0.0018688782275050567,0.0021612158452334472,ideological,0.5,0.5,0.5,0.5
exposure,4,0.0010386284671077828,2.2420474195526882e-8,2.6781199193125233e-8,-0.0010811247115285192,-0.001059268259468676,0.000981565605696835,0.0,-0.0000776072405883621,-0.0015053580164611647,-0.0013744892547287377,0.0014955849726161533,ideological,0.5,0.5,0.5,0.5
engagement,4,0.0018803710545618468,3.713579647599184e-8,4.395752517852694e-8,-0.0014196059609725778,-0.0013763750736957457,0.0013724948307960736,0.0,-0.00025261525004487834,-0.0015053580164611647,-0.0013744892547287377,0.0014955849726161533,ideological,0.5,0.5,0.5,0.5
composition,4,-0.011098238204972244,-2.1919847929079503e-7,-2.592198394210362e-7,-0.0014315985789715186,-0.0014376512325953565,0.0012697074346689286,0.0,-0.00021701039798170674,-0.0015053580164611647,-0.0013744892547287377,0.0014955849726161533,ideological,0.5,0.5,0.5,0.5
exposure,0,0.0005688035519610946,1.1543451079880153e-8,1.2944416548202051e-8,-0.001642649075274772,-0.001584635305353261,0.0015701431566341652,0.0,0.00004579956818197978,-0.010311385522068185,-0.009887881150326435,0.010272374826563993,ideological,0.9,0.5,0.9,0.5
engagement,0,0.0019750060109464673,3.659180366373564e-8,4.05637004445864e-8,-0.002138063225533164,-0.002103913166236017,0.0020613520212955684,0.0,0.00004569865151730218,-0.010311385522068185,-0.009887881150326435,0.010272374826563993,ideological,0.9,0.5,0.9,0.5
composition,0,-0.014866907108627814,-2.760799834471275e-7,-3.0557020345359615e-7,-0.0020368325426230738,-0.002017414105524919,0.0019463650975845292,0.0,0.00009302526577043696,-0.010311385522068185,-0.009887881150326435,0.010272374826563993,ideological,0.9,0.5,0.9,0.5
exposure,1,0.00016993578201063286,3.3940996646687077e-9,3.835848991256216e-9,-0.0009858265996606844,-0.0009392150065373802,0.001020835864702781,0.0,0.006137269352197917,-0.011065096600342607,-0.010449031402139073,0.011042956544050408,ideological,0.9,0.5,0.9,0.5
engagement,1,0.002397964551090759,4.37680614567197e-8,4.8935056039237576e-8,-0.0014845554344327903,-0.0014880503180483198,0.0014422795595623334,0.0,-0.00008277481564962497,-0.011065096600342607,-0.010449031402139073,0.011042956544050408,ideological,0.9,0.5,0.9,0.5
composition,1,-0.015800865700535627,-2.8969026291683094e-7,-3.246330758436017e-7,-0.0019351156977868728,-0.001996555050190918,0.001854603587710394,0.0,-0.0002470005129544331,-0.011065096600342607,-0.010449031402139073,0.011042956544050408,ideological,0.9,0.5,0.9,0.5
